"ID","Poste","MFO","VO2max","F0H","V0H","PmaxH","F0V","V0V","PmaxV","Total Distance","Sprinting (> 25 km/h)","High Intensity Running (> 15 km/h)"
"D26","W",0.766,53.429,6.8,9.425,16.035,29.861,3.854,28.5,-1.08974040657421,0.996067961058081,-0.238252752170417
"O34","MC",0.442,55.845,7.72,7.68,14.83,25.056,3.585,22.456,-0.199310997462977,-1.15411206067324,-0.984575155617505
"F90","MC",0.65,57.06,8.235,8.66,17.84,22.116,5.634,30.314,0.49671125713264,-0.618620969994204,-0.399702770267436
"K35","MC",0.46,54.524,7.61,9.3,17.66,38.005,3.096,29.31,-0.220525568698164,-0.708027735616807,-0.672629094050721
"I23","W",0.703,58.858,8.955,9.225,20.61,32.184,3.824,30.48,-1.2410812103396,0.834634449511635,-0.0454975379762583
"T26","FB",0.533,56.519,7.84,8.8,17.26,26.482,4.512,29.87,0.0243717475142586,1.0009707703152,0.39238455673811
"K13","CB",0.558,60.615,6.745,9.425,15.895,36.782,3.391,30.952,-0.761616531685929,0.499975531841434,-0.636561178272117
"T39","FB",0.653,64.481,7.605,8.88,16.89,28.341,3.628,25.499,-0.127514060691177,0.0594076161683635,-0.549965662820234
"Y41","S",0.875,64.557,6.925,8.965,15.34,25.91,3.332,21.384,0.622332600970757,0.0301559181321831,0.848601292583221
"H43","MC",0.65,61.825,7.235,9.27,16.755,36.189,3.43,30.848,0.683841023467196,-0.686260866939466,0.275312312860436
"W46","W",0.551,59.955,10.64,9.08,24.13,36.309,2.634,23.756,0.0131556414670506,1.07907833501934,0.822265591313153
"K95","FB",0.202,52.411,7.395,9.215,17.035,26.945,5.141,30.87,-0.0231635775635139,1.07687109606608,0.660368501194257
"G90","CB",0.524,55.546,11.06,8.105,22.315,28.633,4.835,34.199,-1.05240671186032,-0.604993175726016,-1.1606438382298
"N89","CB",0.672,53.37,7.045,9.46,16.675,27.153,5.261,35.698,-0.301561162924368,0.218209113135799,-0.0514342857078115
"E34","MC",0.733,59.044,7.68,8.56,16.445,33.025,2.782,22.934,0.822658086516044,-0.174065289547581,0.77756829187367
"S82","MC",0.967,61.983,8.15,8.92,17.31,26.331,4.511,28.784,0.521266704906094,-1.04429702331669,-0.480822426170179
"Q65","CB",0.723,51.37,7.97,9.725,19.375,35.747,3.784,33.265,-0.647955026630569,-0.176672445713153,-0.688853849434282
"L37","FB",0.654,59.476,8.65,8.93,19.3,29.086,4.071,29.603,0.193167736274449,0.534324639018161,0.268671535879269
"W81","MC",0.689,53.804,8.715,8.515,18.46,31.883,3.493,27.765,0.0851391419949006,-0.900257909403412,0.130042351286144
"H99","FB",0.59,51.466,8.205,8.485,17.375,26.254,3.817,25.05,-0.240374279737471,-0.107485426136504,0.0550722903859366
"I05","FB",0.581,56.14,7.5,8.585,16.09,25.411,5.241,33.303,-0.109477742842709,0.254428770285944,0.226657357400519
"X40","MC",0.54,61.151,7.36,9.35,17.19,35.987,3.349,29.072,-0.255217331403078,-0.13297908722187,-0.544267914077005
"N12","W",0.737,57.561,8.63,8.955,19.32,23.33,8.479,49.524,1.18121279052472,0.738764309058832,1.4931882834444
"V33","W",0.634,57.346,8.315,8.78,18.12,24.447,7.287,44.539,-1.04044100092333,-0.746780517491324,-0.968299867750918
"H86","S",0.499,56.923,7.79,8.82,17.16,23.027,5.823,32.472,0.406832687290123,0.676044244990099,0.497516785438817
"A53","S",0.418,55.875,7.51,9.095,18.23,29.633,5.432,30.721,-0.0258894251566957,0.133590450752856,-0.143681385266585
"P53","FB",0.834,55.903,8.36,9.4,19.635,34.278,3.358,28.779,0.315049750099265,1.10695914458955,0.974847724971836
"C03","CB",0.568,50.981,7.47,8.82,16.38,35.168,2.775,24.375,-0.360878281687642,-0.250040455763901,-0.19988736549424
"U56","S",0.905,52.143,6.13,9.72,14.89,34.476,3.515,30.3,-0.624699084834354,0.328661550905875,-0.302647227161708
"P56","W",0.969,59.232,8.735,8.255,18.035,24.002,6.13,36.786,0.568079637339003,0.792864941888149,1.15457180644195
"N58","W",0.646,56.657,7.96,8.82,17.545,28.182,3.213,22.601,1.08804864481124,0.0464136795509774,0.812668827549714
"R19","CB",0.693,66.864,7.635,8.565,16.335,30.958,3.012,23.278,-0.157535556676542,-0.180507907125052,-0.570726101354538
"S85","FB",0.779,55.584,8.34,10.155,21.185,31.183,4.154,32.382,-0.369174264563769,0.448123602872734,-0.29939429427651
"O71","CB",0.653,54.043,8.2,8.745,17.885,29.147,5.536,34.334,-0.763834425188973,0.0674210197731263,-0.617682814172338
"T83","MC",0.569,57.561,7.15,7.825,13.99,24.191,4.053,24.435,0.70161283788106,-0.842926599412411,-1.06766368543409
"R11","MC",1.098,52.433,8.24,8.05,16.585,29.731,3.605,26.794,0.0082389813321518,-0.393048064952108,0.111188488158379
"O66","MC",0.747,56.828,9.565,9.09,21.51,33.19,3.052,25.203,0.916941344770928,-0.42862508934046,0.605177318067601
"I00","FB",0.518,58.357,7.69,7.9,15.17,27.888,2.977,20.536,0.156854540080564,-0.406474431844069,0.359614105576595
"E91","S",0.884,55.714,6.12,9.74,14.9,36.739,2.658,24.387,0.836193797323308,0.409071876629776,0.888220614318727
"W56","CB",0.591,52.03,7.88,8.675,15.675,30.548,3.648,27.861,-0.151400977889152,-0.553711446769152,-0.538836196404329
"G38","CB",0.489,64.695,6.85,9.48,16.225,33.106,2.933,24.278,0.351233845028533,-0.905175367573174,-0.517526957262811
